time,meanAmps
00,31.056271111111133
01,30.047896111111122
02,27.953451111111107
03,28.04091444444445
04,26.98328777777777
05,26.71569555555558
06,27.76378555555554
07,28.387379444444452
08,30.158060555555544
09,30.707654444444447
10,31.50312166666666
11,32.05388879999998
12,33.61695657142857
13,32.139564444444424
14,32.31360333333337
15,32.115941111111105
16,32.28673499999999
17,32.19001333333334
18,29.983375555555575
19,32.015063888888854
20,31.754102222222237
21,31.867566666666654
22,31.12935388888887
23,30.96666833333332
