time,amps
02/01/19 01:38:33 PM,
02/01/19 01:39:30 PM,37.9858
02/01/19 01:39:33 PM,
02/01/19 01:40:30 PM,37.9553
02/01/19 01:40:33 PM,
02/01/19 01:41:30 PM,38.0545
02/01/19 01:41:33 PM,
02/01/19 01:42:30 PM,38.1369
02/01/19 01:42:33 PM,
02/01/19 01:43:30 PM,38.0346
02/01/19 01:43:33 PM,
02/01/19 01:44:30 PM,37.9034
02/01/19 01:44:33 PM,
02/01/19 01:45:30 PM,37.7218
02/01/19 01:45:33 PM,
02/01/19 01:46:30 PM,37.882
02/01/19 01:46:33 PM,
02/01/19 01:47:30 PM,38.3551
02/01/19 01:47:33 PM,
02/01/19 01:48:30 PM,38.0606
02/01/19 01:48:33 PM,
02/01/19 01:49:30 PM,37.7615
02/01/19 01:49:33 PM,
02/01/19 01:50:30 PM,37.8714
02/01/19 01:50:33 PM,
02/01/19 01:51:30 PM,37.9461
02/01/19 01:51:33 PM,
02/01/19 01:52:30 PM,37.7844
02/01/19 01:52:33 PM,
02/01/19 01:53:30 PM,38.3169
02/01/19 01:53:33 PM,
02/01/19 01:54:30 PM,38.3932
02/01/19 01:54:33 PM,
02/01/19 01:55:30 PM,38.0728
02/01/19 01:55:33 PM,
02/01/19 01:56:30 PM,37.9858
02/01/19 01:56:33 PM,
02/01/19 01:57:30 PM,0.0305
02/01/19 01:57:33 PM,
02/01/19 01:58:30 PM,0.0305
02/01/19 01:58:33 PM,
02/01/19 01:59:30 PM,0.0305
02/01/19 01:59:33 PM,
02/01/19 02:00:30 PM,0.0305
02/01/19 02:00:33 PM,
02/01/19 02:01:30 PM,0.0305
02/01/19 02:01:33 PM,
02/01/19 02:02:30 PM,0.0305
02/01/19 02:02:33 PM,
02/01/19 02:03:30 PM,0.0305
02/01/19 02:03:33 PM,
02/01/19 02:04:30 PM,0.0305
02/01/19 02:04:33 PM,
02/01/19 02:05:30 PM,38.7304
02/01/19 02:05:33 PM,
02/01/19 02:06:30 PM,38.2376
02/01/19 02:06:33 PM,
02/01/19 02:07:30 PM,38.0179
02/01/19 02:07:33 PM,
02/01/19 02:08:30 PM,38.0774
02/01/19 02:08:33 PM,
02/01/19 02:09:30 PM,38.3932
02/01/19 02:09:33 PM,
02/01/19 02:10:30 PM,38.291
02/01/19 02:10:33 PM,
02/01/19 02:11:30 PM,38.262
02/01/19 02:11:33 PM,
02/01/19 02:12:30 PM,38.1155
02/01/19 02:12:33 PM,
02/01/19 02:13:30 PM,37.9858
02/01/19 02:13:33 PM,
02/01/19 02:14:30 PM,37.969
02/01/19 02:14:33 PM,
02/01/19 02:15:30 PM,38.143
02/01/19 02:15:33 PM,
02/01/19 02:16:30 PM,37.8882
02/01/19 02:16:33 PM,
02/01/19 02:17:30 PM,37.7111
02/01/19 02:17:33 PM,
02/01/19 02:18:30 PM,38.0316
02/01/19 02:18:33 PM,
02/01/19 02:19:30 PM,37.9706
02/01/19 02:19:33 PM,
02/01/19 02:20:30 PM,37.7981
02/01/19 02:20:33 PM,
02/01/19 02:21:30 PM,38.0987
02/01/19 02:21:33 PM,
02/01/19 02:22:30 PM,38.0819
02/01/19 02:22:33 PM,
02/01/19 02:23:30 PM,37.6059
02/01/19 02:23:33 PM,
02/01/19 02:24:30 PM,38.0636
02/01/19 02:24:33 PM,
02/01/19 02:25:30 PM,37.7646
02/01/19 02:25:33 PM,
02/01/19 02:26:30 PM,38.1247
02/01/19 02:26:33 PM,
02/01/19 02:27:30 PM,38.1353
02/01/19 02:27:33 PM,
02/01/19 02:28:30 PM,38.2101
02/01/19 02:28:33 PM,
02/01/19 02:29:30 PM,37.9324
02/01/19 02:29:33 PM,
02/01/19 02:30:30 PM,37.9156
02/01/19 02:30:33 PM,
02/01/19 02:31:30 PM,38.1048
02/01/19 02:31:33 PM,
02/01/19 02:32:30 PM,37.9614
02/01/19 02:32:33 PM,
02/01/19 02:33:30 PM,37.9324
02/01/19 02:33:33 PM,
02/01/19 02:34:30 PM,37.7935
02/01/19 02:34:33 PM,
02/01/19 02:35:30 PM,38.1003
02/01/19 02:35:33 PM,
02/01/19 02:36:30 PM,38.0941
02/01/19 02:36:33 PM,
02/01/19 02:37:30 PM,37.8698
02/01/19 02:37:33 PM,
02/01/19 02:38:30 PM,37.8637
02/01/19 02:38:33 PM,
02/01/19 02:39:30 PM,37.7981
02/01/19 02:39:33 PM,
02/01/19 02:40:30 PM,37.9553
02/01/19 02:40:33 PM,
02/01/19 02:41:30 PM,38.0148
02/01/19 02:41:33 PM,
02/01/19 02:42:30 PM,38.0087
02/01/19 02:42:33 PM,
02/01/19 02:43:30 PM,38.0789
02/01/19 02:43:33 PM,
02/01/19 02:44:30 PM,37.9049
02/01/19 02:44:33 PM,
02/01/19 02:45:30 PM,37.673
02/01/19 02:45:33 PM,
02/01/19 02:46:30 PM,37.9278
02/01/19 02:46:33 PM,
02/01/19 02:47:30 PM,38.1796
02/01/19 02:47:33 PM,
02/01/19 02:48:30 PM,38.0636
02/01/19 02:48:33 PM,
02/01/19 02:49:30 PM,38.2071
02/01/19 02:49:33 PM,
02/01/19 02:50:30 PM,38.1781
02/01/19 02:50:33 PM,
02/01/19 02:51:30 PM,37.9202
02/01/19 02:51:33 PM,
02/01/19 02:52:30 PM,37.9995
02/01/19 02:52:33 PM,
02/01/19 02:53:30 PM,38.0117
02/01/19 02:53:33 PM,
02/01/19 02:54:30 PM,38.0362
02/01/19 02:54:33 PM,
02/01/19 02:55:30 PM,37.9171
02/01/19 02:55:33 PM,
02/01/19 02:56:30 PM,38.1674
02/01/19 02:56:33 PM,
02/01/19 02:57:30 PM,0.029
02/01/19 02:57:33 PM,
02/01/19 02:58:30 PM,0.029
02/01/19 02:58:33 PM,
02/01/19 02:59:30 PM,0.029
02/01/19 02:59:33 PM,
02/01/19 03:00:30 PM,0.029
02/01/19 03:00:33 PM,
02/01/19 03:01:30 PM,0.029
02/01/19 03:01:33 PM,
02/01/19 03:02:30 PM,0.029
02/01/19 03:02:33 PM,
02/01/19 03:03:30 PM,0.029
02/01/19 03:03:33 PM,
02/01/19 03:04:30 PM,0.029
02/01/19 03:04:33 PM,
02/01/19 03:05:30 PM,0.029
02/01/19 03:05:33 PM,
02/01/19 03:06:30 PM,39.8306
02/01/19 03:06:33 PM,
02/01/19 03:07:30 PM,37.9248
02/01/19 03:07:33 PM,
02/01/19 03:08:30 PM,38.0697
02/01/19 03:08:33 PM,
